time_iso8601,stargazers_cumulative_snapshot
2023-09-30 23:15:54+00:00,34
2023-10-04 23:17:13+00:00,35
2023-10-06 23:16:23+00:00,36
2023-11-02 23:17:23+00:00,37
2023-12-20 23:18:03+00:00,38
2024-01-05 23:17:50+00:00,39
2024-01-11 23:18:24+00:00,40
2024-03-04 23:18:11+00:00,41
2024-03-07 23:19:13+00:00,42
2024-03-14 23:16:57+00:00,43
2024-03-19 23:18:22+00:00,42
2024-04-19 23:19:40+00:00,43
2024-04-28 23:16:43+00:00,44
2024-05-08 23:19:18+00:00,45
2024-05-16 23:18:54+00:00,46
2024-05-26 23:19:49+00:00,47
2024-06-04 23:19:56+00:00,48
2024-06-06 23:22:46+00:00,49
2024-06-18 23:19:30+00:00,50
