time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-29 00:00:00+00:00,,,69,7
2024-01-30 00:00:00+00:00,,,3,2
2024-01-31 00:00:00+00:00,1.0,1.0,28,4
2024-02-01 00:00:00+00:00,4.0,3.0,149,4
2024-02-02 00:00:00+00:00,,,5,2
2024-02-03 00:00:00+00:00,,,2,1
2024-02-04 00:00:00+00:00,,,3,2
2024-02-05 00:00:00+00:00,1.0,1.0,76,10
2024-02-06 00:00:00+00:00,1.0,1.0,36,6
2024-02-07 00:00:00+00:00,,,5,2
2024-02-08 00:00:00+00:00,1.0,1.0,23,4
2024-02-09 00:00:00+00:00,1.0,1.0,28,4
2024-02-10 00:00:00+00:00,,,7,2
2024-02-11 00:00:00+00:00,1.0,1.0,9,6
